iter	MultiClass
0	1.038397309
1	0.9973289336
2	0.9665779612
3	0.9299777123
4	0.8975566594
5	0.871435791
6	0.8459800956
7	0.8230758398
8	0.7985292797
9	0.7772119402
10	0.7556539878
11	0.7371226235
12	0.7228270205
13	0.7067066225
14	0.6921728579
15	0.6790657649
16	0.6653801201
17	0.6533784343
18	0.640581902
19	0.6304693362
20	0.6206953208
21	0.6128430022
22	0.602352099
23	0.5930404627
24	0.5840876556
25	0.5755546594
26	0.5674928763
27	0.5603709067
28	0.5542178232
29	0.5473608263
30	0.5393010047
31	0.5324969566
32	0.5252295246
33	0.5191938155
34	0.5118723812
35	0.5046666319
36	0.4995038331
37	0.4945280777
38	0.4904553356
39	0.4837852682
40	0.4768426375
41	0.4726416433
42	0.4661904924
43	0.4605472154
44	0.4568968135
45	0.4542603965
46	0.4499317877
47	0.4451097412
48	0.4404408288
49	0.4368883141
50	0.4326092941
51	0.4274044527
52	0.4227291896
53	0.4185053951
54	0.4143004372
55	0.4088697495
56	0.4055840679
57	0.4023861054
58	0.3980825349
59	0.3945455773
60	0.3901898923
61	0.3868509255
62	0.3827015052
63	0.3782303695
64	0.3731864387
65	0.368702024
66	0.3654086128
67	0.3612861932
68	0.3580152804
69	0.3529654132
70	0.349702718
71	0.3465910849
72	0.3436290529
73	0.3400088095
74	0.3375901341
75	0.3342996728
76	0.3300975778
77	0.3257861333
78	0.322148382
79	0.3198257622
80	0.3163204658
81	0.3128376402
82	0.3106546475
83	0.3069796456
84	0.3045800767
85	0.3009697788
86	0.2972316528
87	0.29608811
88	0.2934070988
89	0.2904870476
90	0.2877470523
91	0.2852552253
92	0.2831860818
93	0.2805241414
94	0.2772237584
95	0.2743108147
96	0.2716645988
97	0.2701039393
98	0.2682294366
99	0.2668405353
100	0.2638014927
101	0.2616766847
102	0.259803509
103	0.257174996
104	0.2556977596
105	0.2535244302
106	0.2508708103
107	0.2488604055
108	0.246655206
109	0.2451034842
110	0.2436605052
111	0.2417381641
112	0.2394804489
113	0.237103241
114	0.2349916875
115	0.2337834328
116	0.2317824743
117	0.2300097876
118	0.2283265273
119	0.2268404457
120	0.2249986462
121	0.2229836724
122	0.2210998445
123	0.2194060584
124	0.2174663513
125	0.2163034035
126	0.214331835
127	0.2126934674
128	0.2113588434
129	0.2097132732
130	0.2078146005
131	0.2065617911
132	0.2047107639
133	0.2035903597
134	0.2015525194
135	0.2002047592
136	0.1989654103
137	0.1978837755
138	0.1964047617
139	0.1949677283
140	0.1942027578
141	0.1930697924
142	0.1915487654
143	0.1899659481
144	0.1887951047
145	0.1881386891
146	0.1870914909
147	0.1858468289
148	0.1845041632
149	0.1829430207
150	0.1824278372
151	0.1810267889
152	0.1797224441
153	0.1787647231
154	0.1776209303
155	0.176764999
156	0.1757311161
157	0.1745959209
158	0.1732453517
159	0.1723901338
160	0.1712521076
161	0.1702744473
162	0.1690646874
163	0.1679343393
164	0.1672429125
165	0.1654151567
166	0.1641040464
167	0.1630294427
168	0.1619145233
169	0.1606744697
170	0.1598908924
171	0.1593622422
172	0.1583128999
173	0.1571641166
174	0.1560304107
175	0.1550334437
176	0.1543768448
177	0.1534662166
178	0.1529146385
179	0.1521897777
180	0.1512363938
181	0.1505754928
182	0.1494884014
183	0.1488608768
184	0.147933989
185	0.1468467918
186	0.145942091
187	0.1450732195
188	0.1443143604
189	0.1437916789
190	0.1428762489
191	0.1422954925
192	0.1412496791
193	0.1404226378
194	0.1396739941
195	0.1390233712
196	0.1383875347
197	0.1373556962
198	0.136696969
199	0.1363237189
200	0.1356177043
201	0.1347312212
202	0.1338563622
203	0.1332964605
204	0.1324821356
205	0.1316660868
206	0.1308244604
207	0.130117092
208	0.129588374
209	0.1286456373
210	0.1277365966
211	0.1270944458
212	0.1265542765
213	0.1258047645
214	0.1250125056
215	0.1245220222
216	0.1240100269
217	0.1234821787
218	0.1228464663
219	0.1222034173
220	0.1214423137
221	0.1207837905
222	0.1200574568
223	0.1194908551
224	0.118881368
225	0.1182402498
226	0.1177537945
227	0.1172419358
228	0.1166259877
229	0.1159324175
230	0.1152495392
231	0.114729515
232	0.1144108257
233	0.1139430087
234	0.1135077123
235	0.1127819881
236	0.1122404341
237	0.1120628549
238	0.1114075877
239	0.1108771751
240	0.1102878611
241	0.1098366096
242	0.1091947942
243	0.1084786969
244	0.1079465978
245	0.1074095778
246	0.106634591
247	0.1061401859
248	0.105571142
249	0.105039567
250	0.104488952
251	0.1041660219
252	0.1034774952
253	0.102958134
254	0.1024849995
255	0.1020113792
256	0.1014537776
257	0.1008157259
258	0.1005314693
259	0.1001862921
260	0.09980053282
261	0.09926067144
262	0.0987926338
263	0.09849941676
264	0.09797786462
265	0.09773706691
266	0.09736588608
267	0.09679952707
268	0.09638532677
269	0.09604053672
270	0.09552117364
271	0.0950427657
272	0.09458214752
273	0.09417379084
274	0.09373840118
275	0.09324684971
276	0.09269810252
277	0.09216783055
278	0.09177315302
279	0.09137722753
280	0.09119238326
281	0.09078301892
282	0.09053441458
283	0.09009880699
284	0.08965720223
285	0.089269681
286	0.0888431845
287	0.08841100123
288	0.08805961942
289	0.08762916184
290	0.0873881601
291	0.087084542
292	0.08666750022
293	0.08645773826
294	0.08602887809
295	0.08574414107
296	0.08530086079
297	0.08495255505
298	0.08466070989
299	0.08434649725
300	0.0841485069
301	0.08395127565
302	0.08369627978
303	0.08348374794
304	0.08311706266
305	0.08284948392
306	0.08250810356
307	0.08222395813
308	0.08203430158
309	0.08170455843
310	0.08146022801
311	0.08094257603
312	0.08066056208
313	0.08046185291
314	0.08011940898
315	0.07986084983
316	0.07968480175
317	0.07927782515
318	0.07909020198
319	0.07861052842
320	0.0781918545
321	0.07794394896
322	0.07748673428
323	0.07719303844
324	0.07700979263
325	0.07668606044
326	0.0763681461
327	0.07605560216
328	0.07581845954
329	0.07560402151
330	0.07533453553
331	0.07499124629
332	0.07471444065
333	0.07448288228
334	0.07422334263
335	0.07396253502
336	0.07366221034
337	0.07336492029
338	0.07307277217
339	0.07281417679
340	0.0725763958
341	0.07234675101
342	0.07212658304
343	0.07182972794
344	0.07151539602
345	0.07119757443
346	0.07094117795
347	0.07069771186
348	0.07052563665
349	0.07031616937
350	0.0701895859
351	0.07005540081
352	0.06979182687
353	0.06951054897
354	0.06927940088
355	0.06904016872
356	0.06881935125
357	0.06868054417
358	0.06839292469
359	0.0681002261
360	0.06786784451
361	0.06767832541
362	0.06748944268
363	0.067342107
364	0.06705423053
365	0.06675406733
366	0.06649752373
367	0.06635696781
368	0.06620574488
369	0.06599425632
370	0.0657169058
371	0.06557821313
372	0.0654809952
373	0.06531219937
374	0.06509281184
375	0.06487780197
376	0.06460398751
377	0.06435473528
378	0.06414040873
379	0.06398882426
380	0.06371115303
381	0.06358668052
382	0.06331136455
383	0.06312002902
384	0.06295500419
385	0.06253580295
386	0.06237953441
387	0.06208095409
388	0.06182959286
389	0.06155073147
390	0.0613807406
391	0.06117423676
392	0.06096471466
393	0.06078812096
394	0.06058687187
395	0.06027215695
396	0.06016420352
397	0.05995600609
398	0.05972784521
399	0.05955528217
400	0.05929468826
401	0.05906710597
402	0.0588713487
403	0.05872931033
404	0.05861867835
405	0.05841098171
406	0.05819509848
407	0.0579867876
408	0.05780438748
409	0.0576213577
410	0.05746399769
411	0.05728832349
412	0.05712294562
413	0.05688687839
414	0.05671437338
415	0.05656624368
416	0.05639143594
417	0.0561456505
418	0.05595591839
419	0.05574318958
420	0.05562131827
421	0.05543267781
422	0.05527878075
423	0.05514254361
424	0.05497178888
425	0.05475276583
426	0.05457879505
427	0.05436126922
428	0.05418422312
429	0.05407998597
430	0.05388486756
431	0.05368851996
432	0.05360613541
433	0.05338062594
434	0.05322783961
435	0.05305549242
436	0.05290038403
437	0.05272166375
438	0.0525891944
439	0.0524498069
440	0.05230683906
441	0.052147942
442	0.05191455484
443	0.0516868596
444	0.05153379894
445	0.05139359123
446	0.05124799684
447	0.05107646023
448	0.05098143468
449	0.05079844519
450	0.05070303887
451	0.05053811722
452	0.05047484507
453	0.05033404007
454	0.0502208127
455	0.05004365162
456	0.049911585
457	0.04976627098
458	0.04965325013
459	0.04953908517
460	0.04936377629
461	0.04928095057
462	0.04909691803
463	0.04891308149
464	0.04874665316
465	0.04860425134
466	0.04842796628
467	0.0483241066
468	0.04814562646
469	0.04796912071
470	0.04782908544
471	0.04772177853
472	0.04754245393
473	0.04738823762
474	0.04726116957
475	0.04714174223
476	0.04699644828
477	0.04685818987
478	0.04677884096
479	0.04667963828
480	0.04650284842
481	0.04638413906
482	0.04629954617
483	0.04617533634
484	0.04604675216
485	0.0458976302
486	0.04573255927
487	0.04560745695
488	0.04548946216
489	0.04542586869
490	0.04527864459
491	0.04513067923
492	0.04500315112
493	0.04491286334
494	0.04475663798
495	0.04465185586
496	0.04454690956
497	0.04443126726
498	0.04435384598
499	0.04426217742
